Duration,Distance,Pace,Cadence
1,1.23202,366,83
1,1.23491,366,82
1,1.23716,366,82
1,1.24003,366,82
1,1.24242,366,82
1,1.24508,366,83
1,1.24773,367,84
1,1.2504,367,84
1,1.25299,367,84
1,1.25546,367,83
1,1.25763,367,82
1,1.26016,368,82
1,1.2627,370,82
1,1.26539,370,82
1,1.2683,370,82
1,1.27074,370,82
1,1.2732,371,83
1,1.27553,371,83
1,1.27787,371,84
1,1.2806,372,84
1,1.28322,373,84
1,1.28575,373,84
1,1.28866,373,83
1,1.29139,373,83
1,1.29456,373,83
1,1.29688,373,83
1,1.30019,373,84
1,1.30245,372,84
1,1.30491,372,84
1,1.30817,372,84
1,1.31112,372,84
1,1.31422,372,84
1,1.31719,371,83
1,1.31969,371,83
1,1.32252,370,82
1,1.32536,370,82
1,1.32798,370,82
1,1.33125,370,82
1,1.33413,368,82
1,1.33685,368,82
1,1.33989,367,82
1,1.34265,367,82
1,1.34574,367,82
1,1.34892,366,82
1,1.35131,366,82
1,1.35422,365,82
1,1.357,365,82
1,1.35967,365,82
1,1.36253,365,82
1,1.36521,365,82
1,1.36783,363,82
1,1.37098,363,83
1,1.37364,363,83
1,1.37629,363,83
1,1.37894,363,83
1,1.38159,363,83
1,1.38459,363,83
1,1.38741,363,83
1,1.39053,362,83
1,1.39357,362,83
1,1.39617,362,83
1,1.39952,361,83
1,1.40205,361,82
1,1.40454,360,82
1,1.40736,360,83
1,1.40991,360,83
1,1.41278,361,84
1,1.41553,360,84
1,1.41836,360,84
1,1.42144,360,84
1,1.4241,360,84
1,1.42716,360,84
1,1.43002,360,84
1,1.43293,358,84
1,1.43587,358,84
1,1.43855,358,84
1,1.44162,357,84
1,1.44441,357,84
1,1.44758,357,84
1,1.45058,356,83
1,1.45295,356,83
1,1.45596,356,83
1,1.45882,355,83
1,1.46166,355,83
1,1.46474,355,83
1,1.46777,355,83
1,1.47085,354,83
1,1.47359,354,83
1,1.47625,352,83
1,1.47926,352,83
1,1.48157,352,83
1,1.48482,352,83
1,1.488,352,83
1,1.49077,352,84
1,1.49412,351,84
1,1.49664,351,83
1,1.49944,351,83
1,1.50243,350,83
1,1.50514,350,84
1,1.50845,350,84
1,1.51114,350,84
1,1.51389,349,84
1,1.51688,349,83
1,1.51935,349,83
1,1.52251,349,84
1,1.52551,349,84
1,1.52861,349,84
1,1.53184,349,84
1,1.53482,348,84
1,1.53808,348,84
1,1.54084,347,84
1,1.54344,347,84
1,1.54647,347,84
1,1.54893,346,83
1,1.55162,347,83
1,1.55444,347,83
1,1.55733,347,84
1,1.5609,347,84
1,1.56392,347,84
1,1.56695,346,84
1,1.56977,345,84
1,1.5726,345,84
1,1.57574,345,84
1,1.57822,345,84
1,1.58156,345,84
1,1.58468,344,84
1,1.58746,344,84
1,1.59072,344,83
1,1.59358,342,83
1,1.59644,342,83
1,1.59938,342,83
1,1.602,342,83
1,1.60525,342,83
1,1.60823,341,84
1,1.6109,341,84
1,1.61366,341,84
1,1.61646,341,84
1,1.61961,341,83
1,1.62264,341,83
1,1.62568,341,83
1,1.62893,340,83
1,1.63153,340,83
1,1.63454,340,83
1,1.63732,340,83
1,1.64009,340,83
1,1.64324,340,83
1,1.64586,340,83
1,1.64871,340,83
1,1.65166,340,84
1,1.65435,340,84
1,1.65743,340,84
1,1.65998,340,84
1,1.6629,340,84
1,1.66598,340,84
1,1.66877,340,84
1,1.67173,340,83
1,1.67463,340,83
1,1.67736,340,82
1,1.68046,340,82
1,1.68326,340,83
1,1.6863,340,83
1,1.68928,340,83
1,1.69192,340,83
1,1.69489,340,83
1,1.69741,340,83
1,1.70072,340,83
1,1.7036,340,83
1,1.7064,340,84
1,1.7094,340,84
1,1.71166,340,84
1,1.7147,340,84
1,1.71759,340,84
1,1.72054,340,84
1,1.72363,340,84
1,1.72633,340,84
1,1.72952,340,84
1,1.73254,340,84
1,1.73549,340,84
1,1.73844,340,84
1,1.74103,340,84
1,1.74391,340,84
1,1.74673,340,84
1,1.74961,340,84
1,1.75256,340,84
1,1.75549,340,84
1,1.75838,340,84
1,1.76114,340,83
1,1.76361,340,83
1,1.76623,340,83
1,1.76896,341,84
1,1.77209,341,84
1,1.77505,341,84
1,1.77802,341,84
1,1.78108,341,84
1,1.78328,341,84
1,1.78612,341,84
1,1.78913,342,84
1,1.79241,342,84
1,1.7955,342,84
1,1.79812,342,84
1,1.80094,342,84
1,1.80361,342,84
1,1.80633,342,84
1,1.80941,342,84
1,1.81203,342,84
1,1.8152,342,84
1,1.81841,342,84
1,1.82111,342,84
1,1.82432,342,84
1,1.82703,342,84
